original_query,paraphrased_query
dresser with mirror,Dresser with mirror
Table,Table
wheelchair,wheelchair
attachment for van,attachment for a van
twin mattress,twin mattresses
Clothing,Clothing
loveseat,Loveseat
Cochrane armoire and dresser with mirror,Cochrane armoire and dresser with a mirror
Books,Books
bedframe,Bed frame
a swivel desk chair,swivel desk chair
a queen mattress,queen mattress
new dog bed,new dog bed
Donating TV stand,Donate TV stand
metal desk,metal desk
oven,oven
Sofa,Sofa
a medium low television/vcr stand,medium low television/VCR stand
Surround sound system,surround sound system
Large American Furniture Watehouse sectional sofa,Large American Furniture Warehouse sectional sofa
Elfa drawer system,Elfa drawer system
Motorized reclining chair,Motorized recliner chair
Baby shoes,baby shoes
range,What is the range?
couches,couches
Treadmill,Treadmill
Loveseat,"The grammar of the query ""Loveseat"" is already correct."
desk,desk
women’s trail bike,women's trail bike
large leather lazyboy recliner,Large leather La-Z-Boy recliner
Large wooden futon,Large wooden futon
Two stools,Two stools
two chest of draws,two chests of drawers
reclining chair,reclining chair
several framed pictures,Several framed pictures
Working piano,Functional piano
Room & Board day bed sofa,Room & Board daybed sofa
children's,children's
tables,tables
Desk,Desk
Delta Baby Crib,delta baby crib
King size platform bed,King-size platform bed
queen size bed,Queen-size bed
matching Dresser,Matching dresser
secretary,"Search for ""secretary"""
wood bookcase,Wooden bookcase
Futon and brand new seated walker,Futon and brand new seated walker
side table,Side table
desk chair,"The search query ""desk chair"" is already grammatically correct."
"Six drawer dresser
Large club chair","Six-drawer dresser  
Large club chair"
sit/stand desk,sit-stand desk
home decor,Home décor
patio table and chairs,Patio table and chairs
Green sofa,green sofa
stuffed animals,Stuffed animals
Clothes & outer wear,Clothes & outerwear
and a coffee table,coffee table
drapes,Drapes
Clothes and housewares,Clothes and housewares.
Electric Medical bed,Electric medical bed
Desk & chair,Desk and chair
footboard,Footboard
two arm chairs,two armchairs
Loft bed with futon,Loft bed with a futon
Sofa and Loveseat,Sofa and loveseat
Manual double recliner leather sofa,Manual double recliner leather sofa
couch,Couch
one rug,a rug
One sideboard storage Unit,Sideboard storage unit
a corner table and a bedframe if you are taking bed frames,A corner table and a bed frame if you are taking bed frames.
A recliner,Recliner
jeans,Jeans
desk,desk
standing desk,standing desks
Business armoire and dining room table,Business armoire and dining room table
IKEA couch,IKEA sofa
Sofa,Sofa
Fold out sofa,Folding out sofa
wall pictures,Wall pictures
cabinet,cabinet
Sofa bed couch with matching chair and ottoman and coffee table,"Sofa bed couch with a matching chair, ottoman, and coffee table"
Full Sofa bed,Full sofa bed
buffet cabinet,Buffet cabinet
coffee maker,Coffee maker
sofas,Sofas
books,Books
toys,Toys
Working washer and dryer,Working washer and dryer.
large clothes dresser,large clothing dresser
manual reclining sofa,Manual recliner sofa
a couple desks,a couple of desks
bedding,Bedding
matching mirror,match mirror
dishwasher,"The grammar of the search query ""dishwasher"" is already correct."
Antique wooden dining table,Antique wooden dining table
clothing,clothing
Table and chairs,Table and chairs
China cabnet,China cabinet
tracks,Tracks
Solid Wood Murphy Bed Cabinet with draw,Solid Wood Murphy Bed Cabinet with drawer
miscellaneous household items,Miscellaneous household items
dog crate/kennel,Dog crate or kennel
Queen mattress,Queen mattress
One standard desk,Standard desk
One large couch,One large sofa
Bed frame,Bed frame
book case,bookcase
Large refrigerator,large refrigerator
chair,Chair
end table,end table
outdoor table and two benches,outdoor table and two benches
Sofa,Sofa
one rocking lazy boy type chair,one rocking La-Z-Boy type chair
car seat,car seats
jewelry,jewelry
bed linens,Bed linen
bedside tables,Bedside tables
dresser,Dresser
Fridge,Refrigerator
desk with chair & hutch,desk with chair and hutch
Armoire,Armoire
Twin Mattress,Twin mattress
plus bed frame,plus bed frame
Miscellaneous chairs/accent tables,Miscellaneous chairs/accent tables
Furniture rugs appliances and more,"Furniture, rugs, appliances, and more"
twin size mattress,twin-size mattress
Lazy Boy  recliner sofa,Lazy Boy recliner sofa
Relax the Back Leather recliner,Relax the Back leather recliner
puzzles,puzzles
end table,end table
Couch,Couch
Futon frame and mattress,Futon frame and mattress.
Dishwasher,"The grammar of the search query ""Dishwasher"" is already correct."
coffee table,"The original query ""coffee table"" is already grammatically correct and clear."
Two Sofa Couches,Two Sofas Couches
clothes,Clothing
Large couch,Large sofa
housewares,Housewares
